1,2,俄罗斯
1,3,俄罗斯
1,4,俄罗斯
1,5,俄罗斯
1,6,俄罗斯
1,7,俄罗斯
2,1,俄罗斯
2,3,俄罗斯
2,4,俄罗斯
2,5,俄罗斯
2,6,俄罗斯
2,7,俄罗斯
3,1,俄罗斯
3,2,俄罗斯
3,4,俄罗斯
3,5,俄罗斯
3,6,俄罗斯
3,7,俄罗斯
3,8,俄罗斯
3,9,俄罗斯
3,10,俄罗斯
3,11,俄罗斯
4,1,俄罗斯
4,2,俄罗斯
4,3,俄罗斯
4,4,俄罗斯
4,5,俄罗斯
4,6,俄罗斯
4,7,俄罗斯
4,8,俄罗斯
4,9,俄罗斯
4,10,俄罗斯
5,4,俄罗斯
5,5,俄罗斯
5,6,俄罗斯
5,7,俄罗斯
5,8,俄罗斯
5,9,俄罗斯
5,10,俄罗斯
5,11,中国
5,12,俄罗斯
6,9,俄罗斯
6,10,俄罗斯
6,11,俄罗斯
6,12,俄罗斯
7,1,日本
7,2,俄罗斯
7,3,俄罗斯
7,4,俄罗斯
7,5,俄罗斯
8,1,俄罗斯
8,2,俄罗斯
8,3,俄罗斯
8,4,俄罗斯
8,5,俄罗斯
8,12,俄罗斯
9,4,俄罗斯
9,5,俄罗斯
9,6,俄罗斯
9,7,俄罗斯
10,3,俄罗斯
10,4,俄罗斯
10,5,俄罗斯
10,6,俄罗斯
11,2,俄罗斯
12,8,俄罗斯
12,9,俄罗斯